time,branch-misses,branch-instructions,LLC-load-misses,L1-dcache-load-misses,instructions,label,program,branch-misses_mean,branch-misses_std,branch-misses_max,branch-instructions_mean,branch-instructions_std,branch-instructions_max,LLC-load-misses_mean,LLC-load-misses_std,LLC-load-misses_max,L1-dcache-load-misses_mean,L1-dcache-load-misses_std,L1-dcache-load-misses_max,instructions_mean,instructions_std,instructions_max,miss_rate,branch_miss_rate,cache_miss_ratio
0.020780929,16307,592039,2721,77501,2939692,0,ffmpeg,15620.8,450.31539564779126,16307.0,593647.7,6550.354478139586,602493.0,2562.3,271.16786518844054,3224.0,77877.1,1341.9629445203034,80012.0,2944889.4,30234.726014624404,2981598.0,0.0009256068575868,0.0275437470441186,28.472079353416607
0.020782558,16272,594874,2429,78747,2954637,0,ffmpeg,15703.9,488.5048504270552,16307.0,593857.8,6552.875412990259,602493.0,2575.6,259.67338459382336,3224.0,78084.0,1295.2301382890453,80012.0,2946156.4,30363.849683856715,2981598.0,0.0008220973263052,0.0273536457238915,32.406172839506176
0.020788416,15997,601360,2440,80768,2988233,0,ffmpeg,15714.4,494.093603369604,16307.0,593744.5,6394.872446851901,601398.0,2551.6,260.0428169867646,3224.0,78159.6,1434.8096428210442,80768.0,2946955.6,31446.539135870604,2988233.0,0.0008165357866887,0.0266013259922076,33.08807865628841
0.020789527,15236,588875,2378,76658,2915633,0,ffmpeg,15685.6,514.4010972876707,16307.0,594342.1,5482.957888905019,601398.0,2546.4,263.2447952419336,3224.0,78192.9,1390.6858779509666,80768.0,2949221.2,27720.930703901315,2988233.0,0.0008156030558019,0.025873019107588,32.222782681799075
0.020789902,15359,591353,2478,77994,2927974,0,ffmpeg,15711.6,487.315138741159,16307.0,594680.9,5139.010982491921,601398.0,2549.3,262.2102845677084,3224.0,78278.0,1344.574116803045,80768.0,2950313.8,26500.400319438457,2988233.0,0.0008463187014916,0.0259725984773925,31.461879790238
0.020790097,14879,583243,2200,75215,2896254,0,ffmpeg,15577.0,514.8630885991646,16307.0,592865.4,5680.67510075999,601378.0,2446.9,141.70426951841102,2721.0,77805.5,1515.0386317109942,80768.0,2941779.4,28936.409065809632,2988233.0,0.0007596016234758,0.0255107639341339,34.173103134938664
0.020791341,15486,596366,2227,78765,2962141,0,ffmpeg,15616.1,488.3560745577213,16307.0,593626.0,5578.185627001264,601378.0,2439.6,151.64446723896984,2721.0,78007.0,1492.8948761156173,80768.0,2945436.4,28971.22703000085,2988233.0,0.0007518208107511,0.0259672315872608,35.35233393177738
0.020794236,15285,592903,2465,77898,2939049,0,ffmpeg,15611.0,491.85996200554206,16307.0,593831.6,5501.742839052119,601378.0,2432.2,148.01711612652542,2721.0,77980.6,1492.183426324972,80768.0,2946453.5,28500.02203647222,2988233.0,0.0008387063847161,0.0257798901677168,31.58880778588808
0.02079487,15028,589583,2234,77393,2928501,0,ffmpeg,15514.5,503.12120254101393,16307.0,592652.1,4939.77973984391,601360.0,2401.7,154.8318442690231,2721.0,77823.6,1459.572859899259,80768.0,2941290.5,26313.946164459943,2988233.0,0.0007628473533567,0.0254891584574886,34.62774049217002
0.020798292,15125,588620,2480,77383,2917720,0,ffmpeg,15497.4,514.1576066210788,16307.0,591921.6,4942.137059158278,601360.0,2405.2,156.30795813881247,2721.0,77832.2,1456.3751653483346,80768.0,2936983.4,26292.376864396483,2988233.0,0.0008499784592152,0.0256956513614023,31.19024586860137
0.020800683,15734,597331,2700,79619,2958201,0,ffmpeg,15440.1,440.5699465234204,16272.0,592450.8,5230.994887352281,601360.0,2403.1,151.66589743311266,2700.0,78044.0,1553.6203597543931,80768.0,2938834.3,27141.999963801456,2988233.0,0.0009127165758119,0.0263404605813852,29.47760088855979
0.020803627,15983,594528,6452,79165,2945894,0,ffmpeg,15411.2,386.0408153459721,15997.0,592416.2,5214.303592614275,601360.0,2805.4,1290.1976764992978,6452.0,78085.8,1580.034655041545,80768.0,2937960.0,26713.84054550296,2988233.0,0.0021901663161789,0.0268834657350608,12.267937393460404
0.020808313,15335,598013,2330,78513,2959807,0,ffmpeg,15345.0,326.6101992040268,15983.0,592081.5,4653.708539118148,598013.0,2794.4,1294.1221134205948,6452.0,77860.3,1288.7714261691458,79619.0,2935117.4,21837.217523747437,2962141.0,0.0007872132246415,0.0256432123662656,33.68211068211068
0.020813667,15080,590333,2553,77500,2925894,0,ffmpeg,15329.4,335.98584626552463,15983.0,592227.3,4564.063273779315,598013.0,2811.9,1289.0388710627983,6452.0,77944.5,1227.544092903044,79619.0,2936143.5,21046.71279351696,2962141.0,0.0008725535263568,0.0255448610447644,30.344557556773687
0.020825039,14885,577598,2339,74984,2868788,0,ffmpeg,15282.0,363.6429873159856,15983.0,590851.8,6513.303288940845,598013.0,2798.0,1293.780163362715,6452.0,77643.5,1542.6485341843695,79619.0,2930224.9,30011.85222377501,2962141.0,0.0008153266064531,0.0257704739793524,32.044444444444444
0.020827837,15004,592927,2422,77343,2939102,0,ffmpeg,15294.5,350.1489365679262,15983.0,591820.2,5952.055756940436,598013.0,2820.2,1284.2484875511905,6452.0,77856.3,1297.7643211902907,79619.0,2934509.7,27583.38310633011,2962141.0,0.000824060946486,0.0253049274110853,31.920346677672303
0.020829441,15284,585490,2290,76128,2900285,0,ffmpeg,15274.3,343.6400086681227,15983.0,590732.6,6022.3759283705,598013.0,2826.5,1281.165983695134,6452.0,77592.6,1359.069878024866,79619.0,2928324.1,27634.14170332587,2959807.0,0.0007895773037555,0.0261045857237771,33.229157573112175
0.020832652,14943,586630,2224,75521,2913368,0,ffmpeg,15240.1,359.1262390266514,15983.0,590105.3,6097.419710223023,598013.0,2802.4,1290.9510878073008,6452.0,77354.9,1500.2549005711928,79619.0,2925756.0,27719.872855679947,2959807.0,0.0007633773819931,0.025472571343826,33.942022471910114
0.020904003,3861,74387,1045,5017,374208,1,crosstalk,14123.4,3622.91298389718,15983.0,538585.7,163216.6273733243,598013.0,2683.5,1399.3250952591272,6452.0,70117.3,22923.05649122782,79619.0,2670326.7,807249.3701490492,2959807.0,0.0027925571004438,0.0519035328278754,4.796367112810708
