time,branch-misses,branch-instructions,LLC-load-misses,L1-dcache-load-misses,instructions,label,program
0.697319469,5619,734931,36561,90184,4225640,1,fallout
0.707564416,5651,735571,36623,89384,4227989,1,fallout
0.717808896,5692,738756,36525,90493,4245545,1,fallout
0.728052225,5645,737390,36571,90647,4237168,1,fallout
0.738293822,5581,734632,36571,89004,4227281,1,fallout
0.748538781,5720,735051,36586,90241,4226050,1,fallout
0.758780074,5564,739292,36495,88957,4245251,1,fallout
0.769030537,5633,736650,36568,89859,4235645,1,fallout
0.77927362,5607,735929,36616,89377,4229508,1,fallout
0.789514685,5619,734339,36483,89874,4223967,1,fallout
0.79971814,6010,733121,36401,88957,4206478,1,fallout
0.809977541,5930,739449,36713,91062,4248580,1,fallout
0.820223169,5814,737082,36596,90876,4237488,1,fallout
0.830465251,5828,738736,36575,89952,4241656,1,fallout
0.840709341,5640,738551,36612,90622,4241790,1,fallout
0.850964615,5506,725049,36079,88175,4171957,1,fallout
0.861208991,5662,738710,36555,90821,4243135,1,fallout
0.87145171,5604,734884,36560,90646,4227345,1,fallout
0.881693411,5560,736403,36563,90521,4232531,1,fallout
0.891947294,5674,737462,36605,90823,4237168,1,fallout
0.902189799,5598,736983,36542,89724,4236495,1,fallout
0.912435081,5788,736429,36542,90678,4231885,1,fallout
0.922675948,5730,742410,36548,92056,4258423,1,fallout
0.932917342,5623,738529,36514,92134,4239138,1,fallout
0.943167085,5666,739903,36606,91843,4247463,1,fallout
0.953408989,5752,743179,36446,92503,4260736,1,fallout
0.963653179,5695,741311,36572,91258,4252314,1,fallout
0.973896786,5557,740192,36527,91266,4247530,1,fallout
0.410381432,4846,659876,36149,86582,3838838,1,fallout
0.420717979,6411,711507,35749,88048,4103591,1,fallout
0.430970366,5627,713328,35561,88138,4108028,1,fallout
0.441223553,5431,707606,35466,86857,4079552,1,fallout
0.451471641,5322,707721,35496,85818,4083363,1,fallout
0.461719282,5345,707741,35548,87311,4080985,1,fallout
0.4719743,5584,709716,35431,88784,4090854,1,fallout
0.482221679,5379,713786,35438,89696,4105758,1,fallout
0.492467112,5395,711794,35442,89665,4097167,1,fallout
0.502714122,5428,713749,35405,88672,4106218,1,fallout
0.512963561,5427,712186,35455,88753,4098089,1,fallout
0.523212649,5393,711764,35439,87941,4095931,1,fallout
0.533464246,5395,710355,35494,87036,4092557,1,fallout
0.543735065,5632,718136,35499,87630,4127299,1,fallout
0.553982667,5701,710262,35475,87404,4089937,1,fallout
0.5642306,5415,713501,35510,87798,4105264,1,fallout
0.574478712,5390,712133,35428,88418,4098452,1,fallout
0.584688097,5456,710084,35343,88317,4086582,1,fallout
0.594941667,5507,715908,35587,89368,4115939,1,fallout
0.605189986,5444,710540,35466,88494,4090872,1,fallout
0.615439007,5514,711265,35460,88464,4096061,1,fallout
0.625688733,5648,713749,35459,89244,4105090,1,fallout
0.635944726,5622,718810,35491,90853,4128220,1,fallout
0.646192936,5358,717263,35451,88683,4119284,1,fallout
0.656440567,5577,715947,35447,88952,4110504,1,fallout
0.666688187,5513,713431,35356,88933,4102207,1,fallout
0.676945746,5523,716800,35430,88861,4117276,1,fallout
